address,area,price,buildarea
华润幸福里,鱼峰区,2000,100
碧桂园翡翠湾,鹿寨,3500,144
华庭苑旁,鱼峰区,650,40
金鹿新城,鹿寨,1600,80
鱼峰区雒容镇果园村龙婆...,鹿寨,400,35
荣军路一区1-42号自...,鱼峰区,480,20
恒大翡翠龙庭,鱼峰区,2500,60.67
正和城(别墅),鱼峰区,4000,275
依山花园,鱼峰区,1200,71
柳机生活区,鱼峰区,1200,50
香榭花都,鱼峰区,650,35
南亚名邸,鱼峰区,1600,43
南亚风情,鱼峰区,2800,125
灯台花苑,鱼峰区,1500,80
长虹世纪,鱼峰区,2200,81.83
和祥苑,鱼峰区,1300,120
荣军路,鱼峰区,480,25
基隆综合区工业品市场住宅,柳江,3800,350
基隆综合区工业品市场住宅,柳江,700,120
恒江源商业小区,城中区,1799,40
新柳大道辅路,鹿寨,1700,100
景中苑,鱼峰区,1800,80
职校路,鹿寨,1200,25
柳东雒容(公寓),鹿寨,550,25
鹿寨,鹿寨,300,17
G323(飞鹿大道),鹿寨,1000,290
市公共交通有限责任公司...,柳北区,1350,60
金岭路,柳江,350,22
北站路东二巷80号小区,柳北区,400,30
柳东新区东馨佳苑,鹿寨,2200,128
县建筑公司二号院,鹿寨,800,75
瑞兴路东三巷,柳江,700,56
鹿城名都,鹿寨,1700,108
龙怀路,柳江,450,80
雒容江滨商贸城,鹿寨,400,25
G323(飞鹿大道),鹿寨,1800,100
元宝小区(别墅),鹿寨,700,400
G323(飞鹿大道),鹿寨,1000,90
博园大道辅路,鹿寨,2500,132
G323(飞鹿大道),鹿寨,1600,89
顺业路,柳江,1200,130
G323(飞鹿大道),鹿寨,700,250
金鹿新城,鹿寨,4000,300
武宣商贸中心,鹿寨,1000,126
中杨路西一巷,柳江,1200,107
元宝小区-D区,鹿寨,850,75
飞鹿大道,鹿寨,1200,100
鹿山家园,鹿寨,1300,110
迎宾大道,鹿寨,7800,605
景恒上城,鹿寨,2100,90
景恒上城,鹿寨,2100,90
龙城路西一巷,柳北区,1400,62
农业小区,鹿寨,1500,100
金鹿新城,鹿寨,1500,133
G323(瑞临线),鹿寨,1300,110
半山家园,鹿寨,1200,100
金鹿新城,鹿寨,1500,120
世纪花园,鹿寨,1800,110
柳邕路,柳江,400,35
洛江中路,鹿寨,550,90
恒业路,柳江,500,25
飞鹿大道,鹿寨,8888,565
鸿泰名邸,鹿寨,2500,110
雒容林纸小区,鹿寨,900,65
鑫佳苑,柳江,500,71
龙怀路,柳江,650,60
南环路,柳江,300,12
宏发路,柳江,3000,250
航岭路,柳江,1800,115
文山路,柳江,3000,200
城北,鹿寨,750,80
祥和家园,柳江,450,35
鸿泰名邸,鹿寨,1800,100
金鹿新城,鹿寨,1800,120
龙怀路,柳江,400,35
文山路,柳江,300,45
柳堡路,柳江,1600,100
盛世家园,鹿寨,1800,90
瑞兴路东三巷,柳江,650,75
雒容镇白合屯,鹿寨,300,15
雒容镇白合屯,鹿寨,300,15
景恒上城,鹿寨,1600,82
迎宾小区,鹿寨,7800,600
翔云锦苑,鹿寨,2000,110
政军路,鹿寨,850,70
盛世家园,鹿寨,1700,90
G323(瑞临线),鹿寨,600,60
建中西路,鹿寨,2500,80
飞鹿大道,鹿寨,800,70
鹿寨阳光花园,鹿寨,800,70
水电小区,鹿寨,1200,108
翔云锦苑,鹿寨,2200,95
创园二路,鹿寨,600,50
新柳大道,鹿寨,1100,98
G323(瑞临线),鹿寨,900,60
民生南路,鹿寨,1100,105
鑫园小区,鹿寨,500,22
建中西路,鹿寨,800,65
航五路,柳江,1100,68
民生路,鹿寨,2300,120
广场路,鹿寨,600,70
鑫园小区,鹿寨,1800,132
汇锦紫金园,鹿寨,1000,65
昌厦御座,鹿寨,1300,110
新柳大道,鹿寨,400,100
盛世家园,鹿寨,1800,129
交通街,鹿寨,900,70
中和街,鹿寨,1100,110
雒江路,鹿寨,500,126
金鸡路,鹿寨,800,66
柳堡路南三街,柳江,1800,123
鹿城名都,鹿寨,1000,40
建中东路,鹿寨,900,60
盛世家园,鹿寨,2000,90
飞鹿大道,鹿寨,1000,90
盛世家园,鹿寨,1800,120
西闸街,鹿寨,800,66
桂龙路,鹿寨,1500,100
广信路,鹿寨,2000,114
秀园路,鹿寨,1800,130
碧桂园帕克诺雅,鱼峰区,2400,129
G323(瑞临线),鹿寨,300,15
长乐路,鹿寨,1800,113
新福路,鹿寨,2500,132
容庆路,鹿寨,700,72
北站路,柳北区,1500,90
广场路,鹿寨,350,18
九头山路,鱼峰区,550,25
城北,鹿寨,900,80
河北新村(四区),柳北区,400,20
中房胜利小区,柳北区,2400,102
建中西路,鹿寨,430,18
广场路8号小区,柳北区,1800,80
鹿寨,鹿寨,400,20
建中西路,鹿寨,700,59
金鹿新城,鹿寨,920,43
农业小区,鹿寨,900,84
政通路,鹿寨,1100,60
新城路,鹿寨,1100,60
龙城路,柳北区,1700,47
连升路,鹿寨,550,80
职校路,鹿寨,1200,50
长乐路,鹿寨,1800,116
雒容镇,鹿寨,800,92
鹿寨,鹿寨,300,20
城南,鹿寨,700,37.5
拉堡,柳江,900,108
云星钱隆世家,柳北区,3200,117
建中西路,鹿寨,600,20
广场路,鹿寨,360,35
瑞丰国际,柳江,1100,50
北站路,柳北区,750,35
新福路,鹿寨,2400,130
翠竹苑,柳江,900,145
秀园路,鹿寨,2000,90
鹿寨县,鹿寨,5000,400
职校路,鹿寨,1000,80
腾安国际,柳江,1400,71
鹿寨县,鹿寨,400,16
中和街,鹿寨,400,23
乐群路,鱼峰区,1900,100
瑞兴路,柳江,380,28
新城路,鹿寨,700,30
鹿寨县,鹿寨,400,38
鹿寨,鹿寨,2500,132
弯塘路东一巷,柳北区,1300,70
城北,鹿寨,900,80
桂馨苑,鱼峰区,3000,180
社湾路,鱼峰区,600,30
鑫都花园,鹿寨,450,20
恒兴名园,柳北区,800,23
城南,鹿寨,500,30
九头山路,鱼峰区,750,30
怡江园,柳北区,1600,65
地王公馆,柳北区,2200,64
地王公馆,柳北区,2250,63
柳开馨苑,鱼峰区,1800,94
双龙苑,鱼峰区,330,12
天山路,鱼峰区,500,15
九头山路,鱼峰区,550,25
荣军路,鱼峰区,480,25
柳州市基隆开发区兴国路口,柳江,700,45
东环路,鱼峰区,1100,40
冠亚蓝湾国际,柳北区,800,115
丽阳天下,鱼峰区,500,20
玲珑居,鱼峰区,330,69
柳堡路,柳江,500,40
保利大江郡,柳北区,2399,60
恒大城,鱼峰区,700,9
阳光花园,鱼峰区,1600,68
天和人家,鱼峰区,1300,47
马平路,柳江,1600,68
农贸东二街,柳江,550,50
金都铭城,柳江,1000,90
映山街,鱼峰区,1300,65
祥和家园,柳江,320,30
立新路,鱼峰区,1700,80
正和城(C区公寓),鱼峰区,2500,110.94
沃德梦想,城中区,1550,42
屏山商住楼,鱼峰区,1300,53
丽都协和家园(公寓住宅),鱼峰区,2000,128
五里桥小区,鱼峰区,470,30
国信凤起新都,鱼峰区,1800,38
瑞景文苑,鱼峰区,2900,97
友谊馨苑,鱼峰区,1150,35
银桐路,鱼峰区,450,35
水南路,鱼峰区,500,30
双龙苑,鱼峰区,950,68
莲花城,鱼峰区,450,20
基隆开发区,柳江,450,25
乐群路,鱼峰区,600,20
蟠龙宝邸,鱼峰区,2200,76
温馨花园,城中区,700,25
寿星中路,融水,900,110
阳光100城市广场,城中区,2000,81.57
紫域白莲国际商贸城,柳江,1500,127
社湾路,鱼峰区,700,40
保利大江郡,柳北区,3800,115
愿景品格,柳南区,1800,95
华展华园,城中区,2100,78
柳汽二基地住宅,柳江,800,61.8
华展龙腾阁,城中区,1800,50
雅谷路,三江,1800,100
融水县安太乡十三坡,融水,6000,950
G209(呼北线),三江,300,45
三江县城北小区,三江,1400,120
基隆综合区工业品市场住宅,柳江,1200,80
G321(侗乡大道),三江,1000,100
广福富城国际,融安,1700,88
苏城光明城,三江,1000,90
兴宜街,三江,800,80
柳江县,柳江,1300,72
碧园鑫居,三江,1100,112
广西科技大学教工宿舍,城中区,3000,100
月亮街,三江,1800,70
柳南区,柳江,800,60
龙怀路,柳江,300,40
松花岭小区,柳江,600,60
云溪四季花院,柳江,1300,80
隆泰嘉园,柳江,1200,98
江园银都,柳江,1700,135
江城小苑,柳江,2300,173
南大街,柳江,800,70
月亮街,三江,550,30
月亮街,三江,2000,70
柳中路,柳江,500,65
融安火车站,融安,1200,120
海润阳光,柳城,1000,79
柳城商贸城,柳城,1100,130
柳东路,柳江,1500,120
乐都路,柳江,1200,140
玉华中路鸿聚园小区,融水,1200,87
G209(融江南路),融安,1500,109
融江现代城,融安,2100,96
盘龙路,柳城,250,40
融水碧桂园,融水,6000,1000
柳江区瑞兴七街,柳江,600,90
融协御水东,融水,1800,49
融协御水东,融水,1200,120
福川白阳福邸,柳城,1300,98
寿星中路,融水,500,65
基隆综合区工业品市场住宅,柳江,650,45
苏盟家园,融水,1800,103
连塘苑,城中区,900,25
富都商城,柳城,300,20
白阳中路,柳城,1300,133
尚好嘉苑,柳江,1300,100
解放路,柳城,1300,90
X071,柳城,300,20
基隆综合区工业品市场住宅,柳江,500,50
寿星中路,融水,300,30
基隆综合区工业品市场住宅,柳江,300,30
基隆综合区工业品市场住宅,柳江,350,38
兆安现代城(二期),城中区,2600,80
兴隆市场1-265号自...,柳江,450,55
碧园大城小院,城中区,2600,120
海润阳光,柳城,1800,112
瑞兴路,柳江,650,45
田洞线,融水,5000,1000
锦绣龙城二区,城中区,1150,30
锦绣龙城二区,城中区,800,30
兴隆市场住宅楼,柳江,500,60
聚贤佳苑,城中区,1000,90
瑞兴路东三巷,柳江,700,45
金沙角小区,城中区,2100,50
公安局生活区,城中区,2400,125
基隆开发区,柳江,500,40
柳城县委院内,柳城,1000,80
龙泉路,柳江,650,75
瑞丰国际,柳江,1500,120
瑞兴路,柳江,500,32
万达华城,城中区,3500,100
独秀苑二区,城中区,1900,90
恒大御府,鱼峰区,2999,130
金沙角小区,城中区,2400,96
沃德梦想,城中区,1500,40
瑞丰国际,柳江,900,75
西雅华庭,城中区,1800,60
金竺花苑,柳江,2300,400
青年汇,城中区,1200,55
柳江县,柳江,550,130
马平路,柳江,850,90
春苑路,城中区,550,20
东岸盛世花园,城中区,2350,138
聚贤佳苑,城中区,2100,95
恒江源,城中区,1799,50
恒江源,城中区,1799,40
鸿泰名城,鱼峰区,1250,70
聚福苑,城中区,1300,40
柳糖路,柳城,500,57
谷埠街国际商城,柳南区,500,45
华润幸福里,鱼峰区,1599,35
锦绣龙城一区,城中区,2000,100
万和新希望,城中区,2000,100
谷埠街国际商城,柳南区,1500,35
盛天悦景台御园,鱼峰区,2200,53
居上好人家,城中区,950,30
阳光100城市广场,城中区,2500,103
柳工颐华城,柳南区,2600,89
江城小苑,柳江,1300,120
风情港,城中区,4300,133
风情港,城中区,3500,122
东郡尚苑,城中区,3100,115
广西科技大学教工宿舍,城中区,3000,100
锦绣龙城二区,城中区,1050,32
桂中花苑,城中区,1700,91.5
柳江碧桂园,柳江,2000,147
腾安国际,柳江,1500,133
华韵上城,柳南区,1500,80
恒大华府,城中区,3200,89
华润凯旋门,鱼峰区,2300,75
教育小苑,柳江,1350,110
鑫运翠林之约,柳南区,1200,50
金华苑,柳江,1400,92
江园银都,柳江,2500,130
兴怡园,鱼峰区,2600,101.75
南亚澳洲青青,鱼峰区,1050,30
江园银都,柳江,1500,86
恒大御府,鱼峰区,3000,120
柳江政府大院,柳江,1800,118
柳州市水轮机厂宿舍,鱼峰区,2300,110
世纪新城,柳江,1500,80
王座,城中区,900,28
经典时代公馆,融安,2500,125
沃德梦想,城中区,1600,35
六座锰矿生活区,鱼峰区,1800,102
古山居苑(南区),鱼峰区,2300,128
恒大华府,城中区,3000,106
金河湾,柳南区,2300,109
一品世家,柳江,1300,130
华展华园,城中区,2600,100
兴怡园,鱼峰区,2500,96
胜利小区(九区),柳北区,1500,60
建都市场住宅区,柳江,1000,100
市政管理处宿舍,鱼峰区,1100,72.5
华展华园,城中区,1200,45
柳南万达华城,柳南区,1100,30
天江丽都,柳北区,2000,110
华展华园,城中区,1100,40
地王公馆,柳北区,6800,163
康盛花苑,柳江,1300,77
万达华城,城中区,3500,95
腾安世纪城金碧苑,柳江,1200,80
高新明珠,城中区,1600,38
乐都北苑,柳江,800,86
盛世名庭,柳江,1200,98
碧园大城小院,城中区,2200,120
金河湾,柳南区,1600,83.9
地王公馆,柳北区,1000,27
文源华都,城中区,2200,53
紫薇园,柳北区,2000,104
中房胜利小区北(二区),柳北区,1600,80
万达华城,城中区,1300,25
柳州市委大院,柳北区,1500,80
万达华城,城中区,1100,20
桃花苑,柳江,1500,120
鹅岗路一区,柳南区,1000,55.9
潭中明园,城中区,2500,105
华展华园,城中区,2000,89
柳西新城,柳江,1200,100
恒大翡翠龙庭,鱼峰区,2800,90
桂中花苑,城中区,860,30
东岸盛世花园,城中区,2000,136
谷埠街国际商城,柳南区,1000,32
华展华园,城中区,800,30
荣和千千树,鱼峰区,2100,55
金山丽园,柳南区,1700,108
河西一区,柳南区,1300,72.5
锦绣龙城二区,城中区,1800,80
静兰小区,城中区,2300,95
柳工颐华城,柳南区,2500,85
鑫运翠林之约,柳南区,1300,79
鹿山花苑,城中区,1800,80
物价局宿舍,三江,1800,105
柳南万达华城,柳南区,2500,105
万达华城,城中区,1100,20
桃花苑,柳江,1000,140
锦业华都(南区),柳南区,2200,65
桂中大道89号大院,城中区,4000,200
保利大江郡,柳北区,3500,120
江南新天地,鱼峰区,1300,60
兴怡园,鱼峰区,2000,86
腾安国际,柳江,1300,90
恒大御府,鱼峰区,2500,95
东堤新都,城中区,6200,250
恒大翡翠龙庭,鱼峰区,2999,100
谷埠街国际商城,柳南区,2200,95
金都铭城,柳江,700,50
地王公馆,柳北区,1350,20
保利大江郡,柳北区,3500,135
和兴园,柳北区,1500,55
惠柳京都,柳北区,1800,78
金绿洲,柳南区,2000,112
储运村,柳北区,1900,80
广西科技大学教工宿舍,城中区,3500,140
金河湾,柳南区,1700,52
柳工颐华城,柳南区,2100,120
万达华城,城中区,800,20
柳州市委大院,柳北区,1500,106
三丰名园,柳北区,1200,63
工行宿舍(广雅路),柳北区,1500,66.8
银山小区,柳南区,1200,75
飞龙景苑,柳北区,1500,70
阳光100城市广场,城中区,2400,85
腾安世纪城金碧苑,柳江,1200,82
冠亚蓝湾国际,柳北区,2800,118
地王公馆,柳北区,2000,63
欧维姆大院,鱼峰区,2300,95
地王公馆,柳北区,1600,40
兴怡园,鱼峰区,2300,82
聚贤佳苑,城中区,2500,91
柳工颐华城,柳南区,1850,46
盛世中华(公寓住宅),柳南区,1900,90
华展华园,城中区,1800,80
十一冶(二区),柳南区,1200,75
新园小居,柳北区,1400,80
丰泽盛景广场,柳江,1200,100
恒大御府,鱼峰区,3300,89
彩虹城,城中区,3800,118
家福居,柳北区,1300,46.14
恒大御府,鱼峰区,2699,90
阳光100城市广场,城中区,1500,36
高新区管委会宿舍,城中区,2000,93
金碧良园,柳南区,800,50
柳工生活南区,柳南区,1800,90
真龙苑,鱼峰区,1150,22
保利大江郡,柳北区,9500,63
中房胜利小区,柳北区,1500,90
花样年小区,鱼峰区,2000,90
中侨金水岸,柳北区,2500,128
中侨金水岸,柳北区,2400,122
兆安四季花城,柳南区,1800,115
中房胜利小区北(二区),柳北区,2000,80
恒大翡翠龙庭,鱼峰区,2600,80
中房胜利小区,柳北区,2600,100
仁和馨园,柳北区,2100,102
乐都北苑,柳江,1300,80
腾安国际,柳江,1100,60
腾安国际,柳江,1400,92
蓝天福园,柳南区,1200,50
华润凯旋门,鱼峰区,2999,89.2
华展华园,城中区,3500,135
金鹅福地,柳南区,2000,90
恒大御府,鱼峰区,2800,93
瑞景文苑,鱼峰区,2450,90
恒大翡翠龙庭,鱼峰区,2500,95
桃花苑,柳江,1500,190
地王公馆,柳北区,2000,45
柳工生活南区,柳南区,1500,87
兴佳山水福第,城中区,2700,103
江城小苑,柳江,1000,70
和兴园,柳北区,1800,65
三星园之福星苑,柳南区,1700,87
柳泥小苑,柳南区,1450,72
富丽嘉园,柳南区,1600,62
文源华都,城中区,4800,160
康城,柳北区,2500,130
温馨阳光,柳北区,2500,100
金沙角小区,城中区,3000,80
福柳新都,城中区,3500,160
江园银都,柳江,1300,89
柳州市委大院,柳北区,1400,75
谷埠街国际商城,柳南区,1400,38
地王公馆,柳北区,2500,63
兆安四季花城,柳南区,1500,78
红光小区(二区),柳南区,1400,64
景航苑,柳南区,1300,40
华韵上城,柳南区,1900,90
鑫佳苑,柳江,1200,103
兴怡园,鱼峰区,1799,55
宏城绿都,柳南区,1700,83
怡江园,柳北区,1500,65
三中路,柳北区,3980,125
正和城(公寓住宅),鱼峰区,1800,90
金长城大厦,城中区,1500,40
中房胜利小区,柳北区,2000,112
银海小区(南区),柳南区,2700,115
保利大江郡,柳北区,3500,103
富丽嘉园,柳南区,2500,120
绿水云间,柳北区,1600,70.89
山水龙居,柳南区,2100,118
星宇华成苑,鱼峰区,1500,89
白云小区,鱼峰区,1200,85
沃德梦想,城中区,1450,45
邮苑小区,柳南区,850,35
地王公馆,柳北区,2000,52
新园小居,柳北区,1500,92
地王公馆,柳北区,1000,63
柳州市蔬菜副食品总公司...,柳北区,1400,57
胜利小区中(六区),柳北区,1500,78
碧桂园尊峪,城中区,4000,141
兴国大道226号大院,柳江,3300,335
锦业华都(南区),柳南区,2500,125
柳工颐华城,柳南区,2000,84
锦业华城,柳南区,2100,65
地王公馆,柳北区,1800,40
冶建大院,柳北区,1100,80
桃源居,柳北区,2500,120
柳西新城,柳江,900,80
天江丽都,柳北区,1700,51
地王公馆,柳北区,1780,43
桂景湾,柳北区,2100,112
兴怡园,鱼峰区,2200,70
万达华城,城中区,3000,107
阳光100城市广场,城中区,2200,80
丰泽盛景广场,柳江,1000,40
中房金茂园,柳北区,1500,80
望泰龙城华府,柳南区,1500,65
地王公馆,柳北区,1700,45
柳西新城,柳江,1000,110
柳西新城,柳江,1300,103
鹅山路五区,柳南区,1100,52
地王公馆,柳北区,2100,46
钢城元宝源,柳北区,1900,85
南亚名邸,鱼峰区,3500,130
瑞景文苑,鱼峰区,2700,78
风行小苑,柳江,600,60
川海碧园,柳南区,1450,55
协和家园集美郡(公寓住...,鱼峰区,1799,75
华润幸福里,鱼峰区,2399,56
腾安国际,柳江,1600,80
腾安国际,柳江,1000,100
地王大厦,城中区,2500,63
兆安四季花城,柳南区,2500,120
华展华园,城中区,1000,45
广电小区,柳南区,1300,80
兴怡园,鱼峰区,1800,62
上窑雅居,鱼峰区,1100,28
柳州市委大院,柳北区,3980,125
阳光100城市广场,城中区,3500,116
建都市场住宅区,柳江,900,60
盛天悦景台锦园,鱼峰区,2299,61
冠亚御龙湾,鱼峰区,1800,85
碧园大城小院,城中区,950,20
上窑九龙,鱼峰区,1600,62
冠亚蓝湾国际,柳北区,1800,65
南亚名邸,鱼峰区,1600,40
冠亚蓝湾国际,柳北区,1600,51.04
谷埠街国际商城,柳南区,2400,103
东祥福苑(别墅),城中区,6000,280
地王公馆,柳北区,1900,63
兴怡园,鱼峰区,2100,65
胜利小区6村,柳北区,1500,86
云星钱隆世家,柳北区,2699,125
印刷厂宿舍,柳北区,1000,60
南亚名邸,鱼峰区,1900,89
沃德梦想,城中区,1899,50
川海碧园,柳南区,1600,45
柳州市委大院,柳北区,600,15
地区物资局大院,柳北区,1800,80
阳光100城市广场,城中区,2200,98
半岛中央花园,柳北区,3500,142
中房·胜利小区-北二区,柳北区,2800,103
柳建大院,柳北区,1600,80.5
雅儒小学宿舍,柳北区,1300,70
两面针长风雅筑,柳北区,1500,63
半岛中央花园,柳北区,2700,95.13
北岸馨园,柳北区,1600,71
怡园新苑,柳北区,1100,60
雅儒路,柳北区,1500,68
松泉小区,柳北区,3200,270
雅儒路364号小区,柳北区,1500,66
柳北电厂宿舍,柳北区,1500,75
三中路,柳北区,8500,200
三中路,柳北区,1800,71
盛庭苑,柳北区,350,25
广雅,柳北区,600,30
银海小区(北区),柳南区,1500,90
地王公馆,柳北区,1600,63
腾安世纪城金碧苑,柳江,1000,78
恒大御府,鱼峰区,2299,75
地王公馆,柳北区,3000,80
康城,柳北区,3800,160.4
广雅小苑,柳北区,2300,132
柳化职工住宅楼,柳北区,2680,121
